var_id,var_full
X50,"In your own personal opinion, how important should the following research activities be when making promotion decisions?  [Publishing in highly regarded journals or conferences (as measured by e.g. journal impact factor, conference rank, etc.)]"
X51,"In your own personal opinion, how important should the following research activities be when making promotion decisions?  [Openly sharing research articles (by publishing in Open Access or depositing in repositories)]"
X52,"In your own personal opinion, how important should the following research activities be when making promotion decisions?  [Openly sharing research data]"
X53,"In your own personal opinion, how important should the following research activities be when making promotion decisions?  [Openly sharing research code or creating research software]"
X54,"In your own personal opinion, how important should the following research activities be when making promotion decisions?  [Engaging with the public (e.g. uptake by non-academic groups, citizen science, science communication)]"
X55,"In your own personal opinion, how important should the following research activities be when making promotion decisions?  [Developing industry collaborations]"
X56,"In your own personal opinion, how important should the following research activities be when making promotion decisions?  [Creating intellectual property (including patents)]"
X57,"In your own personal opinion, how important should the following research activities be when making promotion decisions?  [Engaging policy makers]"
X58,"In your own personal opinion, how important should the following research activities be when making promotion decisions?  [Giving invited talks and keynotes]"
X59,"In your own personal opinion, how important should the following research activities be when making promotion decisions?  [Contributing to peer review ]"
X60,"In your own personal opinion, how important should the following research activities be when making promotion decisions?  [Networking activities (e.g. organising or participating in conferences)]"
X61,"In your own personal opinion, how important should the following research activities be when making promotion decisions?  [Being collegial, helpful and respectful]"
X62,"In your own personal opinion, how important should the following research activities be when making promotion decisions?  [Mentoring PhDs and postdocs]"
X63,"In your own personal opinion, how important should the following research activities be when making promotion decisions?  [Generating funding ]"
X64,"In your own personal opinion, how important should the following research activities be when making promotion decisions?  [Receiving awards]"
X65,"In your own personal opinion, how important should the following research activities be when making promotion decisions?  [Leading projects]"
X66,"In your personal opinion, to what extent do you agree or disagree with the following: [Where two candidates are equally qualified, candidates from underrepresented groups should be preferred (e.g. women/men or minority groups) for promotion]"
X67,"In your personal opinion, to what extent do you agree or disagree with the following: [Promotion committees should where possible include representative numbers of women/men and minorities.]"
X68,"In the last 3 years, how many research articles (including books, book chapters, etc.) did you publish approximately?"
X69,"Approximately, how many of the papers you published in the last 3 years are Open Access (either on the publisher website or in a repository - institutional or disciplinary?"
X70,"What, if anything, would incentivise you to make more research articles Open Access (please list up to 3 things). "
X71,"In the last three years, my choice of publication venue (journal, book publisher, conference, etc.) was influenced by the promotion criteria of my university:"
X72,"In the last three years, how many research datasets did you approximately produce?"
X73,"Of the research datasets that you produced in the last three years, approximately how many of them did you openly share (via repositories or data journals)?"
X74,"What, if anything, would incentivise you to make more datasets openly available (please list up to 3 things). "
X75,In the last three years how many peer reviews did you approximately carry out?  
X76,"Of the peer reviews that you have carried out in the last three years, how many approximately were open peer reviews where the review was published alongside the article?"
X77,"What, if anything, would incentivise you to do more open peer review (please list up to 3 things). "
X78,"How important, for the success of your research, is it to engage with the public (e.g. uptake by non-academic groups, citizen science, science communication)?"
X79,"What, if anything, would incentivise you to engage more with the public (please list up to 3 things). "
X80,"How important, for the success of your research, is it to engage with industry? "
X81,"What, if anything, would incentivise you to engage more with industry (please list up to 3 things)."
X82,"How important, for the success of your research, is it to engage with policy makers?"
X83,"What, if anything, would incentivise you to engage more with policy-makers (please list up to 3 things). "
X84,What is your gender? 
X85,What is your academic role?
X86,What is your academic role? [Other]
X87,"Which year did you publish your first academic publication (journal article, book, conference proceedings, etc.)?"
X88,How would you characterise your institution?
X89,How would you characterise your institution? [Other]
X90,Select the subject topic of your research:
X91,Select the subject topic of your research: [Other]
X92,Is there anything else you would like to share with us regarding this survey?
