X1,X3,X7,X8,X9,X10,X11,X15,X17,X18,X19,X21,X22,X23,X24,X25,X26,X27,X28,X29,X30,X31,X32,X33,X34,X35,X36,X37,X38,X39,X40,X41,X44,X45,X47,X48,X49,X50,X51,X52,X53,X54,X55,X56,X57,X58,X59,X60,X61,X62,X63,X64,X65,X66,X67,X68,X69,X71,X72,X73,X75,X76,X78,X80,X82,X84,X85,X87,X88,X90,X91,Region,disciplines_recoded_wos
22,8,Yes,Yes,Yes,Yes,Yes,No,Yes,NA,No,Agree,Completely agree,Somewhat important,Somewhat unimportant,Somewhat important,Somewhat important,Somewhat important,I don't know,I don't know,Somewhat unimportant,Neither important nor unimportant,Somewhat important,Somewhat unimportant,Somewhat important,Neither important nor unimportant,Somewhat important,Somewhat important,Somewhat important,Very important,Somewhat important,Somewhat important,Completely agree,Agree,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Very important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Neither agree nor disagree,Neither agree nor disagree,6,6,Very rarely,3,3,70,6,Very unimportant,Very unimportant,Neither important nor unimportant,Male,Professor,1999,Both research and teaching intensive,Biology,NA,North America,Life Sciences & Biomedicine
24,8,Yes,Yes,Yes,Yes,Yes,No,I don't know,NA,No,Not applicable,Completely agree,Somewhat important,Very important,Very important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Very important,Somewhat important,Somewhat important,Very important,Neither important nor unimportant,Neither important nor unimportant,Neither important nor unimportant,Very important,Somewhat important,Very important,Very important,Very important,Agree,Completely agree,Somewhat important,Very important,Very important,Somewhat important,Very important,Somewhat important,Somewhat important,Very important,Very important,Somewhat important,Very important,Neither important nor unimportant,Neither important nor unimportant,Somewhat important,Very important,Somewhat important,Very important,Neither important nor unimportant,Very important,Completely agree,Completely agree,20,5,Does not apply,3,3,2,0,Very important,Important,Very important,Male,Other,1983,Other,Medicine,NA,Latin America & Caribbean,Life Sciences & Biomedicine
26,8,Yes,Yes,Yes,Yes,Yes,No,Yes,NA,No,Completely agree,Completely agree,Very important,Somewhat important,Neither important nor unimportant,Very important,Somewhat unimportant,Very unimportant,Very unimportant,Neither important nor unimportant,Somewhat unimportant,Somewhat unimportant,Somewhat unimportant,Very important,Somewhat unimportant,Somewhat unimportant,Neither important nor unimportant,Somewhat important,Very important,Very important,Somewhat important,Agree,Agree,Somewhat important,Somewhat important,Neither important nor unimportant,Somewhat important,Somewhat unimportant,Somewhat unimportant,Somewhat unimportant,Neither important nor unimportant,Neither important nor unimportant,Neither important nor unimportant,Neither important nor unimportant,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Neither agree nor disagree,Agree,25,10,Often,1,1,50,0,Neither important nor unimportant,Neither important nor unimportant,Neither important nor unimportant,Male,Professor,1989,Both research and teaching intensive,Agriculture,NA,North America,Life Sciences & Biomedicine
27,8,Yes,Yes,Yes,Yes,Yes,No,No,NA,Yes,Completely agree,Completely agree,Very important,Somewhat important,Very important,Very important,Neither important nor unimportant,Somewhat unimportant,Somewhat unimportant,Somewhat unimportant,Somewhat unimportant,Somewhat important,Somewhat unimportant,Neither important nor unimportant,Somewhat unimportant,Somewhat unimportant,Somewhat unimportant,Neither important nor unimportant,Very important,Somewhat important,Somewhat important,Agree,Agree,Somewhat important,Very important,Somewhat important,Somewhat important,Very important,Very important,Very important,Very important,Somewhat important,Somewhat important,Very important,Somewhat important,Somewhat important,Somewhat important,Very important,Very important,Very important,Somewhat important,Very important,Completely agree,Completely agree,20,10,Often,100,0,30,5,Unimportant,Important,Neither important nor unimportant,Male,Professor,1997,Both research and teaching intensive,Life Sciences,NA,Europe & Central Asia,Life Sciences & Biomedicine
28,8,Yes,Yes,Yes,Yes,Yes,Yes,I don't know,NA,Yes,Neither agree nor disagree,Agree,Somewhat important,Very important,Very important,Very important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Very important,I don't know,I don't know,Very important,I don't know,Somewhat important,I don't know,Somewhat important,Very important,Somewhat important,Very important,I don't know,Disagree,Neither important nor unimportant,Somewhat important,Very important,Somewhat unimportant,Very important,Very important,Very important,Very important,Somewhat important,I don't know,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Very important,Very important,Somewhat important,Neither important nor unimportant,Very important,Completely agree,Completely agree,11,6,Often,1,1,15,1,Important,Important,I don't know,Male,Lecturer / Assistant Professor / Research Fellow,2003,Both research and teaching intensive,Biology,NA,Europe & Central Asia,Life Sciences & Biomedicine
31,8,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NA,Yes,Agree,Neither agree nor disagree,Somewhat important,Neither important nor unimportant,Somewhat important,Somewhat important,I don't know,I don't know,I don't know,Somewhat important,Somewhat important,I don't know,I don't know,Somewhat important,Somewhat important,Somewhat important,Very important,Somewhat important,Very important,I don't know,Somewhat important,Neither agree nor disagree,Agree,Somewhat important,Neither important nor unimportant,Very important,Very important,Very important,Very important,Very important,Somewhat unimportant,Neither important nor unimportant,Not applicable,Neither important nor unimportant,Somewhat important,Very important,Very important,Very important,Somewhat important,Somewhat important,Neither important nor unimportant,Somewhat important,Neither agree nor disagree,Neither agree nor disagree,10,10,Very rarely,0,NA,30,0,Very unimportant,Neither important nor unimportant,Unimportant,Male,Lecturer / Assistant Professor / Research Fellow,2010,Teaching intensive,Computer Science,NA,Europe & Central Asia,Technology
32,8,Yes,Yes,Yes,Yes,Yes,No,No,NA,No,Completely agree,Completely agree,Very important,Very important,Very important,Very important,Very important,Somewhat important,Somewhat important,Very important,Somewhat important,Neither important nor unimportant,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Somewhat important,Very important,Completely agree,Completely agree,Very important,Very important,Very important,Very important,Very important,Somewhat important,Somewhat important,Very important,Somewhat important,Somewhat important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Somewhat important,Very important,Completely agree,Completely agree,10,10,Neither often nor rarely,1,1,30,0,Very important,Important,Very important,Male,Professor,1984,Research intensive,Environmental Science,NA,Europe & Central Asia,Life Sciences & Biomedicine
33,8,Yes,Yes,Yes,Yes,Yes,No,Yes,NA,Not applicable,Completely agree,Completely agree,Somewhat important,Somewhat important,Very important,Very important,Neither important nor unimportant,Neither important nor unimportant,Neither important nor unimportant,Somewhat unimportant,Somewhat important,Somewhat unimportant,Somewhat important,Somewhat important,Somewhat unimportant,Very important,Neither important nor unimportant,Very important,Very important,Neither important nor unimportant,Very important,Disagree,Agree,Somewhat important,Somewhat important,Very important,Very important,Somewhat important,Very important,Very important,Somewhat important,Very important,Neither important nor unimportant,Somewhat important,Somewhat important,Somewhat important,Very important,Somewhat important,Very important,Very important,Neither important nor unimportant,Very important,Agree,Completely agree,40,10,Neither often nor rarely,2,2,12,0,Neither important nor unimportant,Important,Neither important nor unimportant,Male,Professor,1986,Both research and teaching intensive,Computer Science,NA,Europe & Central Asia,Technology
35,8,Yes,Yes,Yes,Yes,Yes,No,Yes,NA,Yes,Completely agree,Completely agree,Very important,Very important,Neither important nor unimportant,Very important,Neither important nor unimportant,Neither important nor unimportant,Neither important nor unimportant,Somewhat important,Very important,Very important,Neither important nor unimportant,Neither important nor unimportant,Somewhat important,Somewhat important,Very unimportant,Somewhat important,Very important,Somewhat important,Very important,I don't know,I don't know,Somewhat important,Neither important nor unimportant,Very important,Somewhat important,Neither important nor unimportant,Very important,Very important,Very important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Very important,Somewhat important,Very important,Very important,Somewhat important,Neither important nor unimportant,Very important,Agree,Agree,3,0,Neither often nor rarely,0,NA,40,0,Important,Important,Neither important nor unimportant,Female,Senior Lecturer / Associate Professor  / Senior Researcher,1995,Both research and teaching intensive,Computer Science,NA,Europe & Central Asia,Technology
36,8,Yes,Yes,Yes,Yes,Yes,No,I don't know,NA,No,Completely disagree,Disagree,Somewhat important,Very unimportant,Very important,Somewhat important,Very unimportant,Very unimportant,Very unimportant,Very unimportant,Somewhat unimportant,Very unimportant,Very unimportant,Somewhat important,Somewhat unimportant,Somewhat important,Very unimportant,Somewhat important,Very important,Somewhat important,Neither important nor unimportant,Completely disagree,Disagree,Neither important nor unimportant,Neither important nor unimportant,Very important,Very important,Somewhat important,Somewhat important,Neither important nor unimportant,Somewhat unimportant,Very unimportant,Somewhat unimportant,Neither important nor unimportant,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Completely agree,Completely agree,8,8,Very rarely,0,NA,20,0,Unimportant,Unimportant,Very unimportant,Male,Lecturer / Assistant Professor / Research Fellow,2008,Both research and teaching intensive,Mathematics,NA,Europe & Central Asia,Physical Sciences
39,8,Yes,Yes,Yes,Yes,Yes,No,Yes,NA,Not applicable,Agree,Completely agree,Somewhat important,Very important,Very important,Very important,Very important,Somewhat important,Somewhat important,Very important,Neither important nor unimportant,Somewhat unimportant,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Very important,Very important,Very important,Neither important nor unimportant,Very important,Agree,Agree,Somewhat important,Somewhat important,Very important,Somewhat important,Very important,Somewhat important,Very important,Somewhat important,Neither important nor unimportant,Very unimportant,Somewhat important,Neither important nor unimportant,Somewhat important,Very important,Very important,Very important,Very important,Neither important nor unimportant,Somewhat important,Completely agree,Completely agree,18,15,Neither often nor rarely,3,1,30,3,Very important,Important,Important,Male,Professor,1995,Both research and teaching intensive,Other,Demography,Europe & Central Asia,Social Sciences
40,8,Yes,Yes,Yes,Yes,Yes,No,Yes,NA,Yes,Agree,Agree,Very important,Somewhat important,Somewhat important,Somewhat important,Somewhat unimportant,Somewhat unimportant,Somewhat important,Not applicable,Somewhat important,Somewhat important,Neither important nor unimportant,Somewhat unimportant,Somewhat important,Somewhat important,Neither important nor unimportant,Somewhat important,Very important,Somewhat important,Very important,Disagree,Not applicable,Neither important nor unimportant,Somewhat unimportant,Very important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Neither important nor unimportant,Somewhat important,Not applicable,Not applicable,6,2,Very often,1,0,20,10,Unimportant,Very important,Important,Male,Senior Lecturer / Associate Professor  / Senior Researcher,1994,Both research and teaching intensive,Engineering,NA,Middle East & North Africa,Technology
41,8,Yes,Yes,Yes,Yes,Yes,No,Yes,NA,Not applicable,Completely agree,Completely agree,Somewhat important,Somewhat important,Very important,Very important,Somewhat unimportant,Somewhat unimportant,Neither important nor unimportant,Somewhat unimportant,Neither important nor unimportant,Neither important nor unimportant,Very unimportant,Very important,Somewhat important,Very important,Somewhat important,Very important,Very important,Neither important nor unimportant,Very important,Not applicable,Disagree,Somewhat important,Somewhat important,Very important,Very important,Somewhat unimportant,Neither important nor unimportant,Neither important nor unimportant,Somewhat unimportant,Neither important nor unimportant,Somewhat important,Neither important nor unimportant,Somewhat important,Somewhat important,Somewhat important,Very important,Somewhat important,Somewhat important,Neither important nor unimportant,Somewhat important,Not applicable,Agree,30,3,Very rarely,2,1,40,0,Neither important nor unimportant,Neither important nor unimportant,Neither important nor unimportant,Male,Professor,1997,Both research and teaching intensive,Computer Science,NA,North America,Technology
46,8,Yes,Yes,Yes,Yes,Yes,No,Yes,NA,Not applicable,Not applicable,Completely agree,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Neither agree nor disagree,Agree,Somewhat important,Somewhat important,Very important,Somewhat important,Neither important nor unimportant,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Neither important nor unimportant,Neither important nor unimportant,Somewhat important,Very important,Very important,Somewhat important,Somewhat important,Agree,Agree,17,15,Does not apply,10,10,10,2,Neither important nor unimportant,Unimportant,Unimportant,Female,Senior Lecturer / Associate Professor  / Senior Researcher,1992,Research intensive,Biology,NA,Europe & Central Asia,Life Sciences & Biomedicine
47,8,Yes,Yes,Yes,Yes,Yes,No,Yes,NA,No,Completely agree,Completely agree,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Agree,Agree,Somewhat important,Somewhat important,Very important,Somewhat important,Very unimportant,Somewhat unimportant,Somewhat important,Somewhat important,Very unimportant,Somewhat important,Neither important nor unimportant,Somewhat important,Somewhat unimportant,Somewhat important,Very important,Very important,Very important,Somewhat important,Very important,Completely agree,Completely agree,150,40,Often,5,2,60,0,Important,Important,Neither important nor unimportant,Male,Professor,1985,Research intensive,Health,NA,North America,Life Sciences & Biomedicine
48,8,Yes,Yes,Yes,Yes,Yes,No,Yes,NA,Not applicable,Not applicable,Not applicable,Very important,Very important,Very important,Very important,Neither important nor unimportant,Neither important nor unimportant,Neither important nor unimportant,Somewhat important,Neither important nor unimportant,Somewhat important,Somewhat unimportant,Very important,Somewhat important,Very important,Neither important nor unimportant,Very important,Very important,Very important,Very important,Completely agree,Agree,Somewhat important,Somewhat important,Very important,Somewhat important,Very important,Somewhat important,Somewhat important,Somewhat important,Neither important nor unimportant,Somewhat important,Somewhat important,Very important,Very important,Somewhat important,Very important,Very important,Very important,Somewhat important,Somewhat important,Agree,Agree,20,20,Does not apply,10,5,80,0,Neither important nor unimportant,Very unimportant,Very unimportant,Male,Professor,1988,Both research and teaching intensive,Biology,NA,Europe & Central Asia,Life Sciences & Biomedicine
49,8,Yes,Yes,Yes,Yes,Yes,No,Yes,NA,No,Disagree,Agree,Very important,Somewhat unimportant,Very important,Very important,Very unimportant,Very unimportant,Very unimportant,Neither important nor unimportant,Somewhat unimportant,Not applicable,Very unimportant,Somewhat unimportant,Neither important nor unimportant,Neither important nor unimportant,Somewhat unimportant,Somewhat important,Very important,Somewhat unimportant,Somewhat important,I don't know,Disagree,Somewhat important,Somewhat important,Somewhat important,Very important,Very unimportant,Neither important nor unimportant,Neither important nor unimportant,Neither important nor unimportant,Somewhat unimportant,Not applicable,Very unimportant,Very unimportant,Neither important nor unimportant,Neither important nor unimportant,Somewhat important,Somewhat important,Neither important nor unimportant,Somewhat unimportant,Neither important nor unimportant,Completely agree,Completely agree,4,0,Very often,2,0,2,0,Unimportant,Neither important nor unimportant,Very unimportant,Male,Senior Lecturer / Associate Professor  / Senior Researcher,1998,Both research and teaching intensive,Business,NA,Europe & Central Asia,Social Sciences
50,8,Yes,Yes,Yes,Yes,Yes,No,Yes,NA,Not applicable,Agree,Completely agree,Somewhat unimportant,Somewhat important,Very important,Very important,Very unimportant,Somewhat unimportant,Somewhat unimportant,Neither important nor unimportant,Very unimportant,Somewhat unimportant,Neither important nor unimportant,Neither important nor unimportant,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Completely agree,Agree,Somewhat important,Very important,Very important,Somewhat important,Very unimportant,Somewhat important,Somewhat important,Somewhat important,Very unimportant,Somewhat unimportant,Very important,Very important,Somewhat important,Somewhat unimportant,Somewhat important,Somewhat important,Somewhat important,Neither important nor unimportant,Neither important nor unimportant,Agree,Agree,5,2,Neither often nor rarely,1,1,25,0,Very important,Unimportant,Very important,Male,Professor,1971,Both research and teaching intensive,Economics,NA,North America,Social Sciences
52,8,Yes,Yes,Yes,Yes,Yes,No,Yes,NA,Not applicable,Completely agree,Completely agree,Somewhat important,Somewhat important,Very important,Very important,Neither important nor unimportant,Neither important nor unimportant,Neither important nor unimportant,Neither important nor unimportant,Neither important nor unimportant,Neither important nor unimportant,Neither important nor unimportant,Somewhat important,Neither important nor unimportant,Neither important nor unimportant,Neither important nor unimportant,Very important,Very important,Somewhat important,Very important,Neither agree nor disagree,Completely agree,Somewhat important,Somewhat important,Very important,Very important,Neither important nor unimportant,Somewhat important,Neither important nor unimportant,Neither important nor unimportant,Neither important nor unimportant,Neither important nor unimportant,Neither important nor unimportant,Somewhat important,Somewhat important,Neither important nor unimportant,Neither important nor unimportant,Very important,Very important,Very important,Very important,Neither agree nor disagree,Neither agree nor disagree,6,6,Very rarely,0,NA,12,1,Neither important nor unimportant,Unimportant,Unimportant,Male,Professor,1987,Both research and teaching intensive,Physics,NA,Europe & Central Asia,Physical Sciences
53,8,Yes,Yes,Yes,Yes,Yes,No,I don't know,NA,Yes,Completely agree,Completely agree,Somewhat important,Somewhat important,Very important,Very important,Very important,Very important,Very important,Very important,Somewhat important,Neither important nor unimportant,Somewhat important,Very important,Neither important nor unimportant,Somewhat important,Somewhat important,Very important,Very important,Very important,Very important,Completely agree,Agree,Somewhat unimportant,Somewhat important,Very important,Very important,Very important,Very important,Very important,Somewhat important,Neither important nor unimportant,Neither important nor unimportant,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Very important,Very important,Very important,Very important,Very important,Completely agree,Completely agree,12,10,Neither often nor rarely,6,6,30,2,Very important,Neither important nor unimportant,Neither important nor unimportant,Male,Post-doctoral researcher (up to 5 years post-PhD),2008,Research intensive,Computer Science,NA,Europe & Central Asia,Technology
54,8,Yes,Yes,Yes,Yes,Yes,No,Yes,NA,No,Agree,Agree,Very important,Very important,Very important,Very important,Very important,Very important,Somewhat important,Somewhat important,Very important,Somewhat important,Somewhat important,Very important,Very important,Very important,Very important,Very important,Very important,Somewhat important,Very important,Completely disagree,Completely disagree,Somewhat important,Very important,Very important,Very important,Very important,Somewhat important,Somewhat important,Somewhat important,Neither important nor unimportant,Neither important nor unimportant,Neither important nor unimportant,Very important,Somewhat important,Very important,Very important,Very important,Neither important nor unimportant,Neither important nor unimportant,Somewhat important,Completely disagree,Completely disagree,14,11,Very often,10,8,201,0,Important,Neither important nor unimportant,I don't know,Male,Professor,1981,Research intensive,Chemistry,NA,Europe & Central Asia,Physical Sciences
